iter	MultiClass
0	2.201988513
1	2.074787085
2	1.983658474
3	1.913856062
4	1.861540832
5	1.818714715
6	1.783485666
7	1.749927602
8	1.726117146
9	1.703083193
10	1.684024496
11	1.669283754
12	1.657600434
13	1.645357456
14	1.63455064
15	1.625677427
16	1.617464119
17	1.610185568
18	1.604737807
19	1.598073962
20	1.593755161
21	1.590107116
22	1.586488019
23	1.583617643
24	1.581012212
25	1.578968336
26	1.57688396
27	1.575122171
28	1.573272585
29	1.571254299
30	1.569095112
31	1.566739223
32	1.565773221
33	1.563779655
34	1.562389522
35	1.560839861
36	1.55909393
37	1.557701551
38	1.556717397
39	1.556026104
40	1.555099028
41	1.553808205
42	1.552840157
43	1.552309947
44	1.550921112
45	1.549929664
46	1.548791019
47	1.547928219
48	1.546756724
49	1.54631657
50	1.54522738
51	1.543786565
52	1.54325818
53	1.542597573
54	1.541598005
55	1.541019107
56	1.540054123
57	1.539548025
58	1.538208564
59	1.5371827
60	1.535978536
61	1.53482164
62	1.534406333
63	1.533388645
64	1.532739895
65	1.532257843
66	1.531874632
67	1.531317241
68	1.530573579
69	1.530079723
70	1.529485197
71	1.528874471
72	1.528270001
73	1.527738882
74	1.527375996
75	1.527104011
76	1.526839082
77	1.52639407
78	1.526178061
79	1.525830209
80	1.525462719
81	1.524467473
82	1.523616734
83	1.523227596
84	1.522834383
85	1.522566793
86	1.522133074
87	1.521594077
88	1.521041265
89	1.520679995
90	1.520307134
91	1.519428954
92	1.518998962
93	1.518731996
94	1.518405094
95	1.517737201
96	1.517312244
97	1.516722225
98	1.516219785
99	1.515771516
100	1.515422702
101	1.515069926
102	1.514845007
103	1.514587172
104	1.514314366
105	1.513903249
106	1.512934839
107	1.512521503
108	1.512233942
109	1.511929176
110	1.511543639
111	1.511153275
112	1.510799873
113	1.509992218
114	1.509612243
115	1.509364891
116	1.508841153
117	1.508024938
118	1.507347117
119	1.506746591
120	1.506371103
121	1.505991458
122	1.505391951
123	1.505100696
124	1.504730396
125	1.504513078
126	1.504308394
127	1.504026788
128	1.503917263
129	1.503555166
130	1.503381339
131	1.503114187
132	1.502867492
133	1.502637889
134	1.502363808
135	1.502209859
136	1.50211085
137	1.501747279
138	1.501582492
139	1.50115065
140	1.500918568
141	1.500602588
142	1.50003677
143	1.499914355
144	1.499618727
145	1.499174176
146	1.499020309
147	1.498647744
148	1.498413103
149	1.497831583
150	1.497581826
151	1.497334098
152	1.4971174
153	1.496880611
154	1.496301896
155	1.495866481
156	1.495625209
157	1.495247647
158	1.494692159
159	1.494560034
160	1.494381712
161	1.494279368
162	1.494229337
163	1.493768595
164	1.493411949
165	1.493220231
166	1.493087545
167	1.492602977
168	1.492366228
169	1.492124824
170	1.491849745
171	1.491580337
172	1.491218988
