iter	Passed	Remaining
0	358	357817
1	686	342746
2	913	303421
3	1258	313301
4	1703	338962
5	2017	334286
6	2215	314250
7	2395	297062
8	2553	281177
9	2765	273797
10	3295	296270
11	3499	288101
12	3657	277666
13	3810	268348
14	3994	262335
15	4189	257648
16	4342	251091
17	4649	253633
18	5050	260766
19	5397	264488
20	5768	268913
21	6181	274813
22	6534	277556
23	6940	282244
24	7451	290612
25	7854	294259
26	8115	292465
27	8274	287252
28	8589	287591
29	8943	289183
30	9372	292954
31	9833	297459
32	10339	302977
33	10558	299983
34	10754	296504
35	11124	297889
36	11300	294124
37	11492	290954
38	11830	291526
39	12196	292722
40	12583	294339
41	12930	294944
42	13216	294137
43	13369	290493
44	13534	287224
45	13929	288895
46	14327	290517
47	14993	297379
48	15406	299010
49	15731	298896
50	16026	298224
51	16284	296876
52	16606	296730
53	16920	296419
54	17246	296333
55	17576	296290
56	17899	296120
57	18204	295666
58	18514	295295
59	18857	295436
60	19168	295073
61	19449	294257
62	19760	293898
63	20101	293988
64	20397	293407
65	20754	293710
66	21086	293634
67	21453	294045
68	21808	294255
69	22174	294604
70	22529	294790
71	22849	294500
72	23166	294181
73	23510	294194
74	23834	293952
75	24194	294149
76	24520	293928
77	24902	294359
78	25260	294496
79	25613	294555
80	25984	294815
81	26344	294925
82	26686	294835
83	27038	294844
84	27507	296111
85	27685	294236
86	27847	292233
87	27993	290109
88	28140	288044
89	28285	286001
90	28426	283956
91	28580	282078
92	28733	280232
93	28881	278366
94	29040	276645
95	29201	274980
96	29356	273286
97	29494	271467
98	29648	269830
99	29799	268191
100	29949	266579
101	30103	265025
102	30263	263555
103	30415	262037
104	30569	260571
105	30729	259170
106	30876	257692
107	31032	256303
108	31180	254880
109	31323	253437
110	31470	252048
111	31628	250771
112	31811	249708
113	31977	248527
114	32121	247195
115	32277	245974
116	32436	244800
117	32586	243571
118	32742	242406
119	32888	241183
120	33036	239992
121	33183	238812
122	33328	237632
123	33464	236410
124	33594	235163
125	33745	234078
126	33896	233002
127	34042	231916
128	34191	230860
129	34335	229783
130	34486	228771
131	34625	227691
132	34772	226672
133	34919	225674
134	35064	224675
135	35205	223657
136	35339	222610
137	35480	221621
138	35619	220633
139	35764	219697
140	35902	218722
141	36043	217783
142	36183	216850
143	36325	215932
144	36467	215034
145	36616	214183
146	36758	213298
147	36899	212419
148	37042	211566
149	37189	210739
150	37331	209899
151	37470	209045
152	37607	208192
153	37751	207389
154	37893	206579
155	38040	205808
156	38189	205053
157	38342	204331
158	38490	203587
159	38627	202795
160	38781	202095
161	38921	201332
162	39061	200580
163	39212	199888
164	39362	199199
165	39518	198542
166	39676	197909
167	39833	197271
168	39998	196678
169	40166	196106
170	40324	195493
171	40470	194823
172	40633	194241
173	40799	193680
174	40944	193026
175	41091	192382
176	41230	191712
177	41375	191069
178	41518	190430
179	41665	189809
180	41815	189207
181	41955	188569
182	42100	187958
183	42242	187336
184	42386	186727
185	42530	186129
186	42675	185536
187	42825	184968
188	42964	184362
189	43110	183785
190	43255	183214
191	43405	182664
192	43548	182092
193	43702	181566
194	43849	181021
195	44002	180501
196	44148	179953
197	44289	179396
198	44434	178853
199	44583	178335
200	44740	177848
